Name	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
qʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
q͈ʷ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
qʷʰ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
qʷʼ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
qʼ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
r	0	-1	-1	-1	-1	+1	+1	+1	0	+1	-1	+1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
s͈	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
ʃ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
ʃ͈	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
ʃʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
